ProcessId,Arrival Time,Burst Time
1,0,2
2,0,2
3,0,7
4,1,3
5,2,9
6,2,8
7,2,6
8,2,8
9,3,8
10,3,3
11,3,2
12,4,9
13,4,7
14,4,3
15,4,2
16,5,7
17,5,7
18,5,4
19,5,4
20,5,3
21,6,2
22,6,9
23,6,6
24,8,4
25,8,1
26,8,8
27,8,3
28,10,9
29,10,8
30,10,4
31,11,3
32,11,1
33,12,6
34,12,6
35,12,3
36,13,2
37,13,9
38,15,5
39,15,8
40,15,1
41,16,2
42,17,6
43,17,1
44,17,1
45,17,1
46,17,7
47,18,5
48,19,8
49,19,3
50,19,4
51,19,5
52,19,4
53,19,7
54,19,6
55,19,9
56,20,7
57,20,1
58,20,7
59,21,1
60,21,8
61,21,5
62,22,6
63,22,6
64,23,7
65,23,1
66,23,4
67,24,8
68,25,5
69,27,8
70,27,5
71,27,5
72,28,2
73,28,2
74,29,9
75,29,6
76,30,6
77,30,9
78,31,4
79,32,3
80,33,9
81,33,6
82,34,1
83,34,6
84,35,6
85,36,9
86,38,2
87,38,9
88,38,7
89,39,4
90,39,5
91,40,9
92,40,9
93,40,9
94,40,5
95,40,8
96,41,9
97,41,9
98,42,2
99,42,9
100,42,5
101,43,4
102,44,9
103,44,6
104,44,8
105,45,7
106,45,6
107,47,4
108,48,1
109,48,4
110,48,8
111,48,6
112,48,8
113,48,6
114,48,1
115,49,7
116,49,6
117,50,9
118,51,1
119,51,8
120,51,7
121,51,7
122,54,9
123,54,8
124,54,1
125,54,3
126,54,5
127,54,1
128,54,6
129,54,4
130,55,1
131,55,3
132,55,7
133,55,6
134,55,4
135,55,3
136,56,8
137,56,5
138,56,1
139,56,2
140,57,3
141,58,3
142,58,3
143,58,6
144,59,3
145,59,2
146,59,2
147,59,5
148,60,3
149,60,1
150,60,4
