Method,N_Processes,Avg Response Time,Avg Waiting Time,Avg Turn-Around Time,Context Switches
Round Robin,50,94.66863999999998,176.1834599999999,182.24345999999994,82
Improved Round Robin,50,92.37462,93.81461999999999,99.87462,53
Improved Round Robin Dual (2) Processor,50,43.24,43.24,49.3,48
Improved Round Robin Quad (4) Processor,50,21.2,21.14797,27.20797,49
Round Robin,70,117.51817142857139,230.40902857142825,235.85188571428543,120
Improved Round Robin,70,121.2,121.2,126.64285714285714,69
Improved Round Robin Dual (2) Processor,70,56.01428571428571,56.01428571428571,61.457142857142856,68
Improved Round Robin Quad (4) Processor,70,24.085714285714285,24.085714285714285,29.52857142857143,66
Round Robin,100,218.59603499999997,424.16176500000006,431.0517650000001,173
Improved Round Robin,100,219.36,219.36,226.25,99
Improved Round Robin Dual (2) Processor,100,100.69,100.69,107.58,98
Improved Round Robin Quad (4) Processor,100,42.721415,42.66761,49.557610000000004,97
Round Robin,150,235.04910666666672,470.3493066666666,475.4759733333334,255
Improved Round Robin,150,239.78,239.78,244.90666666666667,149
Improved Round Robin Dual (2) Processor,150,106.01333333333334,106.01333333333334,111.14,148
Improved Round Robin Quad (4) Processor,150,40.78876333333332,40.76796666666666,45.89463333333332,147
Round Robin,200,328.8358199999999,639.1361999999996,644.4511999999996,332
Improved Round Robin,200,329.36,329.36,334.675,199
Improved Round Robin Dual (2) Processor,200,147.21,147.21,152.525,198
Improved Round Robin Quad (4) Processor,200,58.005,58.005,63.32,196
